Date,Open,High,Low,Close,Adj Close,Volume,Average,Relative to mean,% increase,Column1,Historical,,
12/3/2015,147.050003,147.630005,144.279999,145.559998,129.542404,3008700,145.955002,0.5926497835,-0.6009516637,,,,
12/4/2015,146.350006,148.779999,146.089996,148.5,132.158875,3892900,147.4349975,0.5986593002,-0.3959008509,,,,
12/7/2015,148.300003,149.5,147.320007,148.449997,132.114395,3417700,148.4100035,0.6026183087,1.002946102,,,,
12/8/2015,146.820007,147.229996,144.649994,144.990005,129.035141,5021100,145.939995,0.5925888477,0.7958540774,,,,
12/9/2015,144.600006,145.690002,142.270004,144.240005,128.367691,5124600,143.980003,0.5846303069,-0.7430718856,,,,
12/10/2015,144.619995,147.460007,144.160004,146.410004,130.298904,3278500,145.8100055,0.5920610258,0.4466572609,,,,
12/11/2015,145,145.699997,143.720001,144.619995,128.705887,3684700,144.709999,0.5875944531,0.7024640777,,,,
12/14/2015,144.5,144.5,141.460007,143,127.264145,4845000,142.9800035,0.5805698124,-1.067909377,,,,
12/15/2015,145.660004,147.100006,144.119995,146.529999,130.405716,4705300,145.6100005,0.5912489061,-0.7349490653,,,,
12/16/2015,147.979996,148.610001,146.229996,148.110001,131.811798,3316000,147.4199985,0.5985983968,-0.09339263903,,,,
12/17/2015,148.850006,149.800003,145.5,145.559998,129.542404,3448800,147.6500015,0.5995323232,2.436297936,,,,
12/18/2015,144.410004,144.410004,138.889999,139.580002,124.220490,9952000,141.6500015,0.5751693438,0.3370220266,,,,
12/21/2015,140.210007,141.940002,139.699997,140.899994,125.395226,3746400,140.8199995,0.5717991236,-0.3349897481,,,,
12/22/2015,141.720001,142.789993,140.5,142.380005,126.712364,2791700,141.6449965,0.575149021,-0.7288615688,,,,
12/23/2015,143.080002,144.070007,142.809998,144.059998,128.207458,3353900,143.4400025,0.5824376367,-0.08323794621,,,,
12/24/2015,143.600006,143.929993,143.360001,143.529999,127.735809,1185000,143.644997,0.5832700162,-0.04669774069,,,,
12/28/2015,143.259995,144.669998,142.850006,144.539993,128.634689,1980000,143.760002,0.5837369936,-1.023243915,,,,
12/29/2015,145.059998,147.559998,145,147.350006,131.135498,3133600,146.279999,0.5939694327,-0.2943853915,,,,
12/30/2015,147.220001,148,146.009995,146.410004,130.298904,1619000,147.0049975,0.5969132867,0.7207357031,,,,
12/31/2015,145.960007,145.960007,144.5,144.589996,128.679169,2105200,145.2300035,0.5897059296,1.894225097,,,,
1/4/2016,141.380005,141.699997,139.429993,140.5,125.039230,5719500,140.564995,0.5707636787,-0.06903067479,,,,
1/5/2016,140.990005,141.699997,139.770004,141.070007,125.546516,3357000,140.7350005,0.5714539854,0.9867006641,,,,
1/6/2016,138.830002,139.350006,137.259995,138.830002,123.553009,4254100,138.3050005,0.5615869788,1.508476096,,,,
1/7/2016,136.380005,136.669998,132.509995,133.009995,118.373428,7013700,134.5899965,0.5465022178,0.8689430155,,,,
1/8/2016,133.699997,135.100006,129.800003,129.990005,115.685776,5776900,132.4500045,0.5378127877,1.011065877,,,,
1/11/2016,130.850006,131,128.919998,130.210007,115.881584,5551500,129.959999,0.5277021289,-0.3837167219,,,,
1/12/2016,131.580002,132.169998,129.639999,131.919998,117.403381,4171500,130.9049985,0.5315392961,0.2395676728,,,,
1/13/2016,132.699997,132.880005,127.75,128.119995,114.021530,5073100,130.3150025,0.5291436194,0.964367933,,,,
1/14/2016,129.589996,130.070007,125.809998,129.199997,114.982697,6517800,127.9400025,0.51949994,0.8587958346,,,,
1/15/2016,125.800003,127.139999,124.510002,125.629997,111.805550,6678400,125.8250005,0.5109119817,-0.1380570861,,,,
1/19/2016,127.059998,127.220001,125.110001,126.059998,112.188217,5478900,126.165001,0.5122925526,1.536897948,,,,
1/20/2016,124,124.940002,119.82,122.139999,108.699608,7636600,122.380001,0.4969235731,-0.5603489313,,,,
1/21/2016,122.769997,125.980003,121.540001,123.400002,109.820953,5546200,123.760002,0.5025270624,-0.3004759333,,,,
1/22/2016,124.419998,125.68,123.32,124.610001,110.897789,5259900,124.5,0.5055318217,0.07308893808,,,,
1/25/2016,124.599998,125.239998,123.400002,124.010002,110.363815,4551600,124.32,0.5048009323,-0.8141283421,,,,
1/26/2016,124.980003,128.149994,124.5,128.009995,113.923645,5432600,126.324997,0.5129422158,3.556994175,,,,
1/27/2016,119.900002,120.110001,115.019997,116.580002,103.751411,27945900,117.564999,0.477372274,0.4141708522,,,,
1/28/2016,117.099998,118.029999,115.059998,118.010002,105.024078,10708400,116.5449985,0.4732305655,-1.037456871,,,,
1/29/2016,118.139999,120.18,118.019997,120.129997,106.910767,9195700,119.0999985,0.4836051342,-0.5562892469,,,,
2/1/2016,119.639999,122.290001,118.650002,121.559998,108.183426,6812800,120.4700015,0.4891680267,0.6679518872,,,,
2/2/2016,119.690002,120.279999,117.370003,117.519997,104.587975,8646700,118.825001,0.4824885078,-0.3309298606,,,,
2/3/2016,118.800003,122.129997,117.150002,121.870003,108.459305,7361900,119.6399995,0.4857978064,-1.370419213,,,,
2/4/2016,121.120003,124.910004,121.120003,123.610001,110.007843,5837000,123.0150035,0.4995019986,0.1685126375,,,,
2/5/2016,123.629997,124.169998,121.029999,122.559998,109.073380,6186700,122.5999985,0.4978168722,1.344023346,,,,
2/8/2016,120.669998,121.330002,117.25,119.470001,106.323395,6453600,119.290001,0.4843766387,0.2375388457,,,,
2/9/2016,117.980003,119.980003,117.43,118.879997,105.798340,4137600,118.7050015,0.4820012503,0.3410831322,,,,
2/10/2016,118.160004,119.459999,116.269997,116.360001,104.513908,4888600,117.864998,0.4785904189,4.107191458,,,,
2/11/2016,113.18,113.400002,102.099998,108.440002,97.400223,33735600,107.75,0.4375185043,0.1339971986,,,,
2/12/2016,105.120003,109.839996,105,108.629997,97.570869,12973400,107.419998,0.4361785324,-1.404933028,,,,
2/16/2016,109.730003,112.760002,109,112.599998,101.136703,7587700,110.880001,0.4502278626,-1.839404536,,,,
2/17/2016,114.029999,116.830002,113.989998,116.339996,104.495949,6619600,115.41,0.468621908,-0.8303721556,,,,
2/18/2016,116.910004,118.230003,116.68,117.57,105.600723,6489000,117.4550015,0.4769256296,0.6415590656,,,,
2/19/2016,117.309998,117.330002,114.419998,115.160004,103.436096,6920600,115.875,0.4705100389,-0.4832001058,,,,
2/22/2016,115.160004,118.970001,115.160004,117.389999,105.439049,4930300,117.0650025,0.47534204,-0.06090643328,,,,
2/23/2016,116.970001,118.5,115.93,116.900002,104.998924,3762300,117.215,0.4759511043,1.210027772,,,,
2/24/2016,115.370003,115.959999,112.510002,115.589996,103.822304,6859300,114.2350005,0.4638508266,-0.9968510934,,,,
2/25/2016,116.349998,117.599998,115.779999,116.82,104.927071,4667100,116.6899985,0.4738193375,-0.724798636,,,,
2/26/2016,117.75,119.449997,117.5,118.160004,106.130669,3757800,118.4749985,0.4810673239,-0.004061308659,,,,
2/29/2016,118.120003,119.470001,117.5,118.18,106.148621,4569700,118.4850005,0.481107937,-0.4608657505,,,,
3/1/2016,119.010002,120.989998,118.25,119.959999,107.747421,4595400,119.619999,0.4857165945,-0.00203065433,,,,
3/2/2016,119.629997,120.75,118.5,119.650002,107.468994,4292500,119.625,0.485736901,0.2578409225,,,,
3/3/2016,118.839996,119.730003,118.25,119.610001,107.433044,3404600,118.9900015,0.4831584918,-0.8324013888,,,,
3/4/2016,120.169998,122.230003,119.849998,121.07,108.744400,4421500,121.0400005,0.4914825057,-0.3674747357,,,,
3/7/2016,120.800003,123.32,120.57,122.900002,110.388115,4504700,121.945,0.495157253,-0.0791794799,,,,
3/8/2016,121.980003,122.970001,121.309998,122.349998,109.894096,5257300,122.1399995,0.4959490478,-0.2050554823,,,,
3/9/2016,122.379997,123.260002,122.029999,122.860001,110.352173,3380300,122.6450005,0.4979996026,0.008121196145,,,,
3/10/2016,123.139999,123.82,121.43,122.940002,110.424026,4111300,122.625,0.4979183907,-0.8344322461,,,,
3/11/2016,124.129997,125.5,123.860001,124.629997,111.941978,3260100,124.6800005,0.5062627131,-0.304537242,,,,
3/14/2016,123.93,127,123.860001,126.339996,113.477890,4283400,125.4300005,0.5093080856,0.05684674882,,,,
3/15/2016,125.550003,126.370003,124.209999,126.360001,113.495865,3717500,125.290001,0.5087396181,-0.6699825415,,,,
3/16/2016,126.239998,128.130005,125.75,127.57,114.582687,5154700,126.9400025,0.5154394435,-1.043547413,,,,
3/17/2016,128.070007,131.600006,127.419998,130.699997,117.394020,5801000,129.510002,0.5258749176,-1.354172354,,,,
3/18/2016,131.240005,134.679993,131.009995,133.960007,120.322144,9108400,132.844994,0.5394166412,-0.9095532597,,,,
3/21/2016,133.460007,136.779999,133.389999,135.860001,122.028702,5671400,135.084999,0.5485121738,-0.1441490491,,,,
3/22/2016,135.139999,136.100006,134.779999,135.119995,121.364052,4989000,135.4400025,0.5499536642,0.6374979599,,,,
3/23/2016,134.990005,135,132.740005,132.860001,119.334129,4361200,133.8700025,0.5435786846,1.112578088,,,,
3/24/2016,131.610001,132.229996,130.029999,132.119995,118.669449,4573100,131.1299975,0.5324529038,-0.1847532026,,,,
3/28/2016,132.529999,132.619995,130.550003,131.289993,117.923943,3352200,131.584999,0.5343004358,0.824283238,,,,
3/29/2016,129.830002,130.929993,128.179993,130.880005,117.555702,4910200,129.554993,0.5260576034,-0.3329635603,,,,
